timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633734296704,373,HTTP Request-3,200,OK,Thread Group 1-12,text,true,,101581,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,232,0,111
1633734295988,1448,HTTP Request,200,OK,Thread Group 1-13,text,true,,104577,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,135,0,106
1633734295988,135,HTTP Request-0,301,Moved Permanently,Thread Group 1-13,text,true,,758,121,3,3,https://google.com/classroom,135,0,106
1633734296123,153,HTTP Request-1,301,Moved Permanently,Thread Group 1-13,text,true,,754,125,3,3,https://www.google.com/classroom,153,0,122
1633734296277,780,HTTP Request-2,302,Moved Temporarily,Thread Group 1-13,text,true,,1728,122,3,3,https://classroom.google.com/,780,0,120
1633734297058,378,HTTP Request-3,200,OK,Thread Group 1-13,text,true,,101337,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,227,0,111
1633734296488,1543,HTTP Request,200,OK,Thread Group 1-14,text,true,,104777,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,140,0,112
1633734296488,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-14,text,true,,758,121,4,4,https://google.com/classroom,140,0,112
1633734296628,165,HTTP Request-1,301,Moved Permanently,Thread Group 1-14,text,true,,754,125,4,4,https://www.google.com/classroom,165,0,136
1633734296794,905,HTTP Request-2,302,Moved Temporarily,Thread Group 1-14,text,true,,1728,122,4,4,https://classroom.google.com/,891,0,115
1633734297700,331,HTTP Request-3,200,OK,Thread Group 1-14,text,true,,101537,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,248,0,120
1633734296988,1050,HTTP Request,200,OK,Thread Group 1-15,text,true,,104968,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,137,0,107
1633734296988,137,HTTP Request-0,301,Moved Permanently,Thread Group 1-15,text,true,,758,121,3,3,https://google.com/classroom,137,0,107
1633734297126,144,HTTP Request-1,301,Moved Permanently,Thread Group 1-15,text,true,,754,125,3,3,https://www.google.com/classroom,144,0,115
1633734297270,372,HTTP Request-2,302,Moved Temporarily,Thread Group 1-15,text,true,,1728,122,3,3,https://classroom.google.com/,371,0,97
1633734297643,395,HTTP Request-3,200,OK,Thread Group 1-15,text,true,,101728,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,245,0,118
1633734297488,1473,HTTP Request,200,OK,Thread Group 1-16,text,true,,104977,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,142,0,113
1633734297488,142,HTTP Request-0,301,Moved Permanently,Thread Group 1-16,text,true,,758,121,3,3,https://google.com/classroom,142,0,113
1633734297631,145,HTTP Request-1,301,Moved Permanently,Thread Group 1-16,text,true,,754,125,3,3,https://www.google.com/classroom,145,0,115
1633734297776,794,HTTP Request-2,302,Moved Temporarily,Thread Group 1-16,text,true,,1728,122,3,3,https://classroom.google.com/,781,0,121
1633734298571,390,HTTP Request-3,200,OK,Thread Group 1-16,text,true,,101737,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,239,0,122
1633734298004,1528,HTTP Request,200,OK,Thread Group 1-17,text,true,,104801,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,124,0,95
1633734298004,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-17,text,true,,758,121,4,4,https://google.com/classroom,124,0,95
1633734298129,151,HTTP Request-1,301,Moved Permanently,Thread Group 1-17,text,true,,754,125,4,4,https://www.google.com/classroom,151,0,119
1633734298281,920,HTTP Request-2,302,Moved Temporarily,Thread Group 1-17,text,true,,1728,122,4,4,https://classroom.google.com/,905,0,123
1633734299202,330,HTTP Request-3,200,OK,Thread Group 1-17,text,true,,101561,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,243,0,116
1633734298488,1328,HTTP Request,200,OK,Thread Group 1-18,text,true,,104613,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,138,0,109
1633734298488,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-18,text,true,,758,121,3,3,https://google.com/classroom,138,0,109
1633734298627,126,HTTP Request-1,301,Moved Permanently,Thread Group 1-18,text,true,,754,125,3,3,https://www.google.com/classroom,126,0,97
1633734298754,773,HTTP Request-2,302,Moved Temporarily,Thread Group 1-18,text,true,,1728,122,3,3,https://classroom.google.com/,773,0,111
1633734299528,288,HTTP Request-3,200,OK,Thread Group 1-18,text,true,,101373,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,211,0,96
1633734298989,1557,HTTP Request,200,OK,Thread Group 1-19,text,true,,104677,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,143,0,115
1633734298989,143,HTTP Request-0,301,Moved Permanently,Thread Group 1-19,text,true,,758,121,4,4,https://google.com/classroom,143,0,115
1633734299133,142,HTTP Request-1,301,Moved Permanently,Thread Group 1-19,text,true,,754,125,4,4,https://www.google.com/classroom,142,0,111
1633734299276,879,HTTP Request-2,302,Moved Temporarily,Thread Group 1-19,text,true,,1728,122,4,4,https://classroom.google.com/,878,0,121
1633734300155,391,HTTP Request-3,200,OK,Thread Group 1-19,text,true,,101437,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,240,0,123
1633734299489,1385,HTTP Request,200,OK,Thread Group 1-20,text,true,,104821,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,122,0,93
1633734299489,122,HTTP Request-0,301,Moved Permanently,Thread Group 1-20,text,true,,758,121,3,3,https://google.com/classroom,122,0,93
1633734299612,160,HTTP Request-1,301,Moved Permanently,Thread Group 1-20,text,true,,754,125,3,3,https://www.google.com/classroom,160,0,129
1633734299773,772,HTTP Request-2,302,Moved Temporarily,Thread Group 1-20,text,true,,1728,122,3,3,https://classroom.google.com/,772,0,107
1633734300546,328,HTTP Request-3,200,OK,Thread Group 1-20,text,true,,101581,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,236,0,119
1633734299989,1569,HTTP Request,200,OK,Thread Group 1-21,text,true,,104812,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,141,0,110
1633734299989,141,HTTP Request-0,301,Moved Permanently,Thread Group 1-21,text,true,,758,121,4,4,https://google.com/classroom,141,0,110
1633734300131,145,HTTP Request-1,301,Moved Permanently,Thread Group 1-21,text,true,,754,125,4,4,https://www.google.com/classroom,144,0,114
1633734300276,895,HTTP Request-2,302,Moved Temporarily,Thread Group 1-21,text,true,,1728,122,4,4,https://classroom.google.com/,895,0,112
1633734301172,386,HTTP Request-3,200,OK,Thread Group 1-21,text,true,,101572,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,227,0,108
1633734300489,1380,HTTP Request,200,OK,Thread Group 1-22,text,true,,105087,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,130,0,99
1633734300489,130,HTTP Request-0,301,Moved Permanently,Thread Group 1-22,text,true,,759,121,3,3,https://google.com/classroom,130,0,99
1633734300619,137,HTTP Request-1,301,Moved Permanently,Thread Group 1-22,text,true,,754,125,3,3,https://www.google.com/classroom,137,0,109
1633734300757,759,HTTP Request-2,302,Moved Temporarily,Thread Group 1-22,text,true,,1728,122,3,3,https://classroom.google.com/,759,0,98
